om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
31,1980,3,17,3/17/1980,14:50:00,3,GA,13,1,1,0,0,4,0,31.77,-84.8,0,0,0.2,50,1,1,1,243,0,0,0,0
32,1980,3,17,3/17/1980,18:45:00,3,GA,13,2,1,0,0,4,0,32.68,-82.52,0,0,2,83,1,1,1,167,0,0,0,0
40,1980,3,21,3/21/1980,0:45:00,3,GA,13,3,1,0,0,4,0,32.9,-84.35,0,0,2,67,1,1,1,293,0,0,0,0
41,1980,3,21,3/21/1980,1:00:00,3,GA,13,4,1,2,0,6,0,32.45,-83.93,32.55,-83.58,22.5,100,1,1,1,193,225,153,0,0
42,1980,3,21,3/21/1980,1:45:00,3,GA,13,5,1,0,0,5,0,32.33,-83.68,32.35,-83.32,22.2,67,1,1,1,153,235,91,0,0
43,1980,3,21,3/21/1980,2:00:00,3,GA,13,6,1,1,0,4,0,32.83,-83.07,0,0,0.2,67,1,1,1,319,0,0,0,0
70,1980,4,4,4/4/1980,6:00:00,3,GA,13,7,1,0,0,3,0,31.38,-84.57,0,0,0.1,20,1,1,1,7,0,0,0,0
71,1980,4,4,4/4/1980,8:20:00,3,GA,13,8,1,0,0,6,0,31.5,-82.85,0,0,0.2,50,1,1,1,69,0,0,0,0
72,1980,4,4,4/4/1980,10:00:00,3,GA,13,9,1,0,0,3,0,31.28,-83.05,0,0,0.2,20,1,1,1,19,0,0,0,0
111,1980,4,8,4/8/1980,12:50:00,3,GA,13,10,0,0,0,3,0,33.95,-83.38,0,0,0.1,10,1,1,1,59,0,0,0,0
133,1980,4,8,4/8/1980,17:20:00,3,GA,13,11,1,0,0,5,0,32.13,-81.32,32.15,-81.28,4.2,30,1,1,1,51,103,0,0,0
134,1980,4,8,4/8/1980,19:50:00,3,GA,13,12,1,1,0,4,0,33.83,-84.77,33.88,-84.73,4.3,30,1,1,1,223,0,0,0,0
159,1980,4,13,4/13/1980,15:50:00,3,GA,13,13,1,4,0,6,0,32.8,-84.83,33.42,-84.38,50.7,100,1,1,1,145,199,255,113,0
160,1980,4,13,4/13/1980,16:45:00,3,GA,13,14,1,1,0,4,0,34,-83.1,34.25,-82.75,26.9,100,1,1,1,221,195,105,0,0
185,1980,4,26,4/26/1980,14:30:00,3,GA,13,15,0,0,0,4,0,31.6,-81.88,0,0,0.1,20,1,1,1,305,0,0,0,0
186,1980,4,26,4/26/1980,15:00:00,3,GA,13,16,1,0,0,4,0,31.85,-81.6,31.9,-81.57,4.1,83,1,1,1,179,0,0,0,0
188,1980,4,27,4/27/1980,1:40:00,3,GA,13,17,1,1,0,5,0,34.35,-83.88,34.4,-83.83,4.5,100,1,1,1,139,0,0,0,0
189,1980,4,27,4/27/1980,3:30:00,3,GA,13,18,1,0,0,3,0,30.83,-83.95,30.85,-83.9,3.6,73,1,1,1,275,0,0,0,0
254,1980,5,17,5/17/1980,12:45:00,3,GA,13,19,1,0,0,4,0,33.02,-84.5,33.1,-84.45,6.5,50,1,1,1,231,0,0,0,0
255,1980,5,17,5/17/1980,13:00:00,3,GA,13,20,1,0,0,3,0,33.05,-84.15,33.2,-84.1,10.8,100,1,1,1,171,0,0,0,0
258,1980,5,17,5/17/1980,18:10:00,3,GA,13,21,1,0,0,4,0,33.48,-83.87,0,0,0.2,50,1,1,1,217,0,0,0,0
259,1980,5,17,5/17/1980,19:20:00,3,GA,13,22,1,0,0,3,0,33.95,-83.53,0,0,0.1,27,1,1,1,219,0,0,0,0
271,1980,5,20,5/20/1980,8:55:00,3,GA,13,23,1,0,0,3,0,31.5,-83.58,0,0,2,77,1,1,1,277,0,0,0,0
282,1980,5,23,5/23/1980,15:00:00,3,GA,13,24,1,0,0,3,0,32.98,-82.8,0,0,1,27,1,1,1,303,0,0,0,0
283,1980,5,23,5/23/1980,19:00:00,3,GA,13,25,2,2,0,5,0,32.05,-81.08,0,0,1,100,1,1,1,51,0,0,0,0
291,1980,5,25,5/25/1980,6:00:00,3,GA,13,26,0,0,0,0,0,32.88,-84.77,0,0,0.2,27,1,1,1,199,0,0,0,0
292,1980,5,25,5/25/1980,6:30:00,3,GA,13,27,0,0,0,0,0,32.68,-84.47,0,0,0.2,27,1,1,1,263,0,0,0,0
295,1980,5,25,5/25/1980,11:30:00,3,GA,13,28,1,0,0,3,0,30.93,-83.5,0,0,0.5,10,1,1,1,27,0,0,0,0
553,1980,6,16,6/16/1980,19:05:00,3,GA,13,29,1,0,0,2,0,34.3,-83.63,0,0,0.1,27,1,1,1,139,0,0,0,0
593,1980,6,24,6/24/1980,18:30:00,3,GA,13,30,1,0,0,0,0,31.93,-82.82,0,0,0.5,27,1,1,1,271,0,0,0,0
698,1980,7,24,7/24/1980,18:30:00,3,GA,13,31,1,0,0,3,0,34.1,-82.87,0,0,0.1,20,1,1,1,105,0,0,0,0
771,1980,8,21,8/21/1980,15:30:00,3,GA,13,32,1,0,0,4,0,31.93,-81.3,0,0,0.1,27,1,1,1,29,0,0,0,0
37,1981,3,18,3/18/1981,13:25:00,3,GA,13,1,1,1,0,4,0,32.87,-82.4,0,0,2,30,1,1,1,163,0,0,0,0
38,1981,3,18,3/18/1981,13:45:00,3,GA,13,2,1,0,0,4,0,32.05,-84.83,0,0,1,30,1,1,1,259,0,0,0,0
39,1981,3,18,3/18/1981,13:45:00,3,GA,13,3,1,0,0,3,0,32.1,-82.9,32.1,-82.85,3.3,40,1,1,1,271,309,0,0,0
41,1981,3,18,3/18/1981,14:05:00,3,GA,13,4,1,0,0,4,0,32.03,-84.53,32.03,-84.48,3.3,40,1,1,1,307,0,0,0,0
62,1981,4,1,4/1/1981,4:30:00,3,GA,13,5,1,0,0,5,0,32.13,-84.23,0,0,0.3,13,1,1,1,261,0,0,0,0
188,1981,5,10,5/10/1981,21:30:00,3,GA,13,6,1,0,0,5,0,33.62,-83.95,0,0,1,17,1,1,1,247,0,0,0,0
626,1981,7,25,7/25/1981,14:15:00,3,GA,13,7,1,0,0,5,0,33.12,-82.38,0,0,0.5,13,1,1,1,163,0,0,0,0
781,1981,11,19,11/19/1981,23:15:00,3,GA,13,8,1,5,0,6,0,33.65,-84.43,0,0,2.5,100,1,1,1,63,0,0,0,0
11,1982,1,4,1/4/1982,1:35:00,3,GA,13,1,1,0,0,5,0,34.32,-84.42,0,0,0.1,20,1,1,1,57,0,0,0,0
59,1982,3,17,3/17/1982,12:05:00,3,GA,13,2,0,0,0,4,0,33.77,-84.4,0,0,0.1,10,1,1,1,121,0,0,0,0
143,1982,4,3,4/3/1982,11:15:00,3,GA,13,3,1,0,0,4,0,30.73,-83.87,30.77,-83.78,6,70,1,1,1,275,0,0,0,0
145,1982,4,5,4/5/1982,15:00:00,3,GA,13,4,2,1,0,6,0,31.13,-84.95,31.13,-84.8,8,100,1,1,1,99,201,0,0,0
146,1982,4,5,4/5/1982,15:50:00,3,GA,13,5,1,0,0,4,0,30.83,-83.97,0,0,0.5,40,1,1,1,275,0,0,0,0
159,1982,4,15,4/15/1982,15:50:00,3,GA,13,6,0,0,0,3,0,33.83,-83.37,0,0,0.2,10,1,1,1,219,0,0,0,0
204,1982,4,25,4/25/1982,14:10:00,3,GA,13,7,0,0,0,4,0,31.7,-83.3,0,0,1,30,1,1,1,17,0,0,0,0
205,1982,4,25,4/25/1982,16:00:00,3,GA,13,8,2,5,0,6,0,30.95,-82.98,0,0,1,400,1,1,1,173,0,0,0,0
224,1982,4,26,4/26/1982,16:15:00,3,GA,13,9,2,5,0,5,0,34.13,-84.85,34.15,-84.8,5,300,1,1,1,15,0,0,0,0
225,1982,4,26,4/26/1982,16:40:00,3,GA,13,10,0,0,0,2,0,32.95,-85.18,0,0,0.2,10,1,1,1,285,0,0,0,0
226,1982,4,26,4/26/1982,16:50:00,3,GA,13,11,1,0,0,2,0,32.92,-84.77,0,0,0.3,20,1,1,1,199,0,0,0,0
612,1982,6,10,6/10/1982,11:35:00,3,GA,13,12,1,0,0,5,0,34.88,-83.4,0,0,2,30,1,1,1,241,0,0,0,0
783,1982,7,8,7/8/1982,17:50:00,3,GA,13,13,1,0,0,4,0,33.3,-84.57,0,0,0.3,100,1,1,1,77,0,0,0,0
996,1982,12,5,12/5/1982,13:15:00,3,GA,13,14,1,0,0,4,0,31.72,-83.25,0,0,0.2,20,1,1,1,17,0,0,0,0
1047,1982,12,29,12/29/1982,1:15:00,3,GA,13,15,2,0,0,4,0,31.93,-83.07,0,0,2,33,1,1,1,271,0,0,0,0
50,1983,2,22,2/22/1983,14:45:00,3,GA,13,1,1,0,0,5,0,31.72,-83.25,0,0,2.5,50,1,1,1,17,0,0,0,0
52,1983,2,22,2/22/1983,17:05:00,3,GA,13,2,1,0,0,4,0,31.57,-82.5,0,0,2,67,1,1,1,5,0,0,0,0
53,1983,2,22,2/22/1983,17:05:00,3,GA,13,3,1,3,0,5,0,31.53,-82.45,31.58,-82.43,4,300,1,1,1,5,0,0,0,0
163,1983,4,23,4/23/1983,16:45:00,3,GA,13,4,1,0,0,3,0,32.75,-83.63,32.75,-83.6,2,30,1,1,1,21,289,0,0,0
165,1983,4,23,4/23/1983,17:17:00,3,GA,13,5,0,0,0,5,0,33.25,-81.97,0,0,2,100,1,1,1,245,0,0,0,0
167,1983,4,23,4/23/1983,18:42:00,3,GA,13,6,0,0,0,5,0,33.03,-82,0,0,0.5,20,1,1,1,33,0,0,0,0
306,1983,5,16,5/16/1983,5:00:00,3,GA,13,7,0,0,0,4,0,32.87,-84.08,0,0,0.5,30,1,1,1,207,0,0,0,0
307,1983,5,16,5/16/1983,6:20:00,3,GA,13,8,1,0,0,5,0,31.53,-83.98,31.65,-83.67,20,150,1,1,1,321,287,0,0,0
308,1983,5,16,5/16/1983,7:30:00,3,GA,13,9,1,0,0,5,0,31.8,-83.48,0,0,0.5,100,1,1,1,287,0,0,0,0
309,1983,5,16,5/16/1983,8:00:00,3,GA,13,10,1,0,0,5,0,31.8,-83.3,31.83,-83.25,3,100,1,1,1,17,0,0,0,0
311,1983,5,16,5/16/1983,9:15:00,3,GA,13,11,1,0,0,4,0,30.8,-83.3,0,0,0.3,150,1,1,1,185,0,0,0,0
352,1983,5,19,5/19/1983,17:45:00,3,GA,13,12,1,1,0,5,0,34.62,-85.3,0,0,2,50,1,1,1,295,0,0,0,0
354,1983,5,19,5/19/1983,18:00:00,3,GA,13,13,1,3,0,5,0,34.75,-84.9,0,0,0.5,30,1,1,1,313,0,0,0,0
680,1983,7,18,7/18/1983,15:00:00,3,GA,13,14,0,0,0,4,0,34.67,-83.52,0,0,1,50,1,1,1,137,0,0,0,0
778,1983,8,24,8/24/1983,16:00:00,3,GA,13,15,1,0,0,4,0,34.62,-83.52,0,0,1,100,1,1,1,137,0,0,0,0
814,1983,10,12,10/12/1983,22:30:00,3,GA,13,16,1,6,0,5,0,34.62,-83.58,34.82,-83.43,15,100,1,1,1,137,241,0,0,0
846,1983,11,20,11/20/1983,12:45:00,3,GA,13,17,1,0,0,4,0,33.32,-84.63,33.35,-84.57,5,100,1,1,1,77,0,0,0,0
847,1983,11,20,11/20/1983,13:50:00,3,GA,13,18,1,2,0,5,0,32.52,-84.93,0,0,1,100,1,1,1,215,0,0,0,0
848,1983,11,20,11/20/1983,16:50:00,3,GA,13,19,1,0,0,4,0,32.28,-83.52,32.33,-83.45,6,67,1,1,1,235,0,0,0,0
